10955	Pingente do Fogo+10	Não pode ser refinado ou negociado.
10956	Pingente do Gelo+10	Não pode ser refinado ou negociado.
10957	Pingente do Vento+10	Não pode ser refinado ou negociado.
10958	Pingente do Trovão+10	Não pode ser refinado ou negociado.
10959	Pingente da Terra+10	Não pode ser refinado ou negociado.
10960	Pingente das Trevas+10	Não pode ser refinado ou negociado.
11901	Fraque	Traje masculino de casamento.	
11902	Fraque	Traje masculino de casamento.	
11903	Vestido de noiva	Traje feminino de casamento.	
11904	Vestido de noiva	Traje feminino de casamento.	
18900	Pedra do Herói	Melhora os bônus do seu cinto.	
21310	Manto da Serpente+0		
21311	Manto da Serpente+1		
21312	Manto da Serpente+2		
21313	Manto da Serpente+3		
21314	Manto da Serpente+4		
21315	Manto da Serpente+5		
21316	Manto da Serpente+6		
21317	Manto da Serpente+7		
21318	Manto da Serpente+8		
21319	Manto da Serpente+9		
21320	Manto da Serpente+10		
21321	Manto da Serpente+11		
21322	Manto da Serpente+12		
21323	Manto da Serpente+13		
21324	Manto da Serpente+14		
21325	Manto da Serpente+15		
21326	Manto Serpente (molde)	Material usado para manufaturar Manto da Serpente.	
21330	Vestes da Serpente+0		
21331	Vestes da Serpente+1		
21332	Vestes da Serpente+2		
21333	Vestes da Serpente+3		
21334	Vestes da Serpente+4		
21335	Vestes da Serpente+5		
21336	Vestes da Serpente+6		
21337	Vestes da Serpente+7		
21338	Vestes da Serpente+8		
21339	Vestes da Serpente+9		
21340	Vestes da Serpente+10		
21341	Vestes da Serpente+11		
21342	Vestes da Serpente+12		
21343	Vestes da Serpente+13		
21344	Vestes da Serpente+14		
21345	Vestes da Serpente+15		
21346	Vestes Serpente (molde)	Material usado para manufaturar Vestes da Serpente.	
21350	Manto Serpente Maligna+0		
21351	Manto Serpente Maligna+1		
21352	Manto Serpente Maligna+2		
21353	Manto Serpente Maligna+3		
21354	Manto Serpente Maligna+4		
21355	Manto Serpente Maligna+5		
21356	Manto Serpente Maligna+6		
21357	Manto Serpente Maligna+7		
21358	Manto Serpente Maligna+8		
21359	Manto Serpente Maligna+9		
21360	Manto Serpen. Maligna+10		
21361	Manto Serpen. Maligna+11		
21362	Manto Serpen. Maligna+12		
21363	Manto Serpen. Maligna+13		
21364	Manto Serpen. Maligna+14		
21365	Manto Serpen. Maligna+15		
