ACCEPT	OK
ATTACH_METIN_INFO	Quer mesmo combinar?
ATTACH_METIN_TITLE	Combinar itens
CANCEL	Fechar
CHANGE_PASSWORD_CONFIRM	Confirme a nova senha
CHANGE_PASSWORD_NEW	Nova senha
CHANGE_PASSWORD_OLD	Senha original
CHANGE_PASSWORD_TITLE	Troca de senha
CHARACTER_ACTION	Ações
CHARACTER_EMOTICON	Emoticons
CHARACTER_MAIN	Status
CHARACTER_QUEST	Quests
CHARACTER_SKILL	Skills
CHARACTER_MUTUAL_ACTION	Expressões interativas
CHARACTER_NORMAL_ACTION	Expressões
CLOSE	Fechar
CREATE_ATT_GRADE	FOR
CREATE_CREATE	Criar
CREATE_DEX_GRADE	DES
CREATE_HP	VIT
CREATE_LAST_POINT	Pontos
CREATE_NAME	Nome
CREATE_NEXT	Próximo
CREATE_PREV	Anterior
CREATE_SHAPE	Vestimenta
CREATE_SP	INT
CREATE_STAT_RESET	Reiniciar
EMPIRE_EXIT	Voltar
EMPIRE_NEXT	Próximo
EMPIRE_PREV	Anterior
EMPIRE_SELECT	Selecionar
EXCHANGE_ACCEPT	Aceitar
EXCHANGE_TITLE	Negociar
GAMEOPTION_TITLE	Opções de jogo
GAME_EXIT_OBSERVER	Sair do modo Espectador
GAME_HELP	Ajuda
GAME_QUEST	Quests
GAME_SKILL_UP	Ponto de Skill
GAME_STAT_UP	Ponto de Status
GUILD_BASENAME	Nome
GUILD_BOARD_ID	Personagem
GUILD_BOARD_REFRESH	Atualizar <F5>
GUILD_BOARD_TEXT	Mensagem
GUILD_BUILDING_CATEGORY_TITLE	Classificação
GUILD_BUILDING_CHANGE	Mover
GUILD_BUILDING_DIRECTION	Direção
GUILD_BUILDING_GRADE	Posição
GUILD_BUILDING_INFO	Informações
GUILD_BUILDING_LIST_TITLE	Unidades de construção
GUILD_BUILDING_NAME	Nome
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_POSITION	Localização
GUILD_BUILDING_PREVIEW	Visualizar
GUILD_BUILDING_REFRESH	Atualizar <F5>
GUILD_BUILDING_TITLE	Construções da Guilda
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Doar
GUILD_DROP_RESOURCE1	Recursos de Drop
GUILD_DROP_RESOURCE2	Aqui
GUILD_GEM	Pedra
GUILD_GRADE_CHANGE_GRADE_NAME	Alterar título
GUILD_GRADE_NUM	Posição
GUILD_GRADE_PERMISSION_DELETE	Expulsar
GUILD_GRADE_PERMISSION_JOIN	Recrutar
GUILD_GRADE_PERMISSION_NOTICE	Mensagens
GUILD_GRADE_PERMISSION_SKILL	 Skills
GUILD_GRADE_RANK	Título
GUILD_GRADE_WRITE	Enviar
GUILD_INFO	Informações da guilda
GUILD_INFO_CUR_EXP	Experiência
GUILD_INFO_DECALRE_WAR	Declarar guerra
GUILD_INFO_ENEMY_GUILD	Guildas inimigas
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhuma
GUILD_INFO_LEVEL	Nível
GUILD_INFO_MARK	Emblema
GUILD_INFO_MASTER	Líder
GUILD_INFO_MASTER_VALUE	Líder
GUILD_INFO_MEMBER_AVG_LEVEL	Nível médio
GUILD_INFO_MEMBER_NUM	Membros
