#index	x	y	npc_vnum	enable_helper	icon
0	32500	40500	9009	0	0
1	25100	87400	9009	0	0
2	19500	93700	9009	0	0
3	30400	118600	9009	0	0
4	52500	114700	9009	0	0
5	59100	116600	9009	0	0
6	68000	37900	9009	0	0
7	82100	29700	9009	0	0
8	35400	32700	9009	0	0
9	40500	7300	10001	1	1
10	59600	55700	9001	1	2
11	59600	60500	9002	1	2
12	67800	56500	9003	1	3
13	67400	60700	9005	1	4
14	68100	60200	30308	1	5
15	7600	60100	20009	1	6
16	55500	62500	9012	1	6
17	67200	55600	20016	1	7
18	73100	65900	9009	1	8
19	62200	51100	20001	1	10
20	69500	65700	20018	1	11
21	55500	53300	20421	1	11
22	65200	47500	20503	1	12
23	65900	47500	20504	1	12
24	73200	48000	60003	1	13
25	65500	64600	20095	1	13
26	71800	57700	20349	1	14
27	54000	50000	20470	1	15
28	62300	63000	20008	1	19
29	62900	47100	20023	1	19
30	63300	62200	9006	1	19
31	68700	47500	20002	1	19
32	69800	51300	20003	1	19
33	59700	51100	20005	1	19
34	58200	57800	20006	1	19
35	71300	60500	20011	1	19
36	66500	63400	20429	1	19
37	64700	58200	11000	1	19
38	65700	61900	11001	1	19
39	65300	50800	20041	1	19
40	57300	53100	20355	1	19
41	60500	66300	20354	1	19
42	6000	111800	20358	1	19
43	58200	34700	20357	1	19
44	89600	61000	20084	1	19
45	54500	39700	20086	1	19
46	54500	41200	20087	1	19
47	62200	55600	20300	1	18
48	62500	55500	20301	1	18
49	62900	55400	20302	1	18
50	63300	55300	20303	1	18
51	64400	55100	20304	1	18
52	64700	55000	20305	1	18
53	65100	54900	20306	1	18
54	65400	54800	20307	1	18
