#index	x	y	npc_vnum	enable_helper	icon
0	10600	8800	10004	1	1
1	13600	88000	10022	1	1
2	59300	7100	10069	1	1
3	44800	38700	9001	1	2
4	46100	37400	9002	1	2
5	38900	35600	9003	1	3
6	47100	34700	9005	1	4
7	47100	35400	30308	1	5
8	76400	14400	20009	1	6
9	34500	35500	9012	1	6
10	39600	34400	20016	1	7
11	46600	32100	20015	1	9
12	44900	30300	20022	1	11
13	37600	31800	20017	1	11
14	44500	27600	20349	1	14
15	41900	30900	9006	1	19
16	39700	30200	20010	1	19
17	40900	26800	20020	1	19
18	40600	41900	20012	1	19
19	38300	40000	20014	1	19
20	48200	33000	20019	1	19
21	37600	37800	20021	1	19
22	48900	35500	20024	1	19
23	43100	35700	11002	1	19
24	41500	37000	11003	1	19
25	62800	72300	20042	1	19
26	80500	86500	20364	1	19
