#index	x	y	npc_vnum	enable_helper	icon
0	73200	39000	9009	0	0
1	77200	47200	9009	0	0
2	76300	80900	9009	0	0
3	77300	90500	9009	0	0
4	71100	23400	9009	0	0
5	38600	84900	9009	0	0
6	81900	31500	9009	0	0
7	13700	12600	10005	1	1
8	43000	60700	9001	1	2
9	40300	58600	9002	1	2
10	38300	69300	9003	1	3
11	31500	56000	9005	1	4
12	31600	55400	30308	1	5
13	13000	111100	20009	1	6
14	43200	68500	9012	1	6
15	39300	69200	20016	1	7
16	42800	48000	9009	1	8
17	29200	81200	20001	1	10
18	46500	61200	20018	1	11
19	32200	73400	20421	1	11
20	30800	81200	20503	1	12
21	31300	81200	20504	1	12
22	41300	53900	60003	1	13
23	47100	57600	20095	1	13
24	39600	73500	20349	1	14
25	34200	80000	20470	1	15
26	32300	61700	20041	1	19
27	44700	92800	20086	1	19
28	45600	93600	20087	1	19
29	34000	74700	20008	1	19
30	45400	53000	20023	1	19
31	34300	56000	20002	1	19
32	37800	57700	20003	1	19
33	41700	67100	9006	1	19
34	28600	63900	20355	1	19
35	46800	71400	20354	1	19
36	77100	7800	20358	1	19
37	11400	96000	20357	1	19
38	28500	28500	20084	1	19
39	29200	71800	20005	1	19
40	33600	77000	20006	1	19
41	42500	71600	20011	1	19
42	37100	70300	20429	1	19
43	38300	64000	11004	1	19
44	36700	61700	11005	1	19
45	44400	62300	20340	1	18
46	44400	62700	20341	1	18
47	44400	63100	20342	1	18
48	44400	63500	20343	1	18
49	44300	64400	20344	1	18
50	44300	64800	20345	1	18
51	44300	65200	20346	1	18
52	44300	65600	20347	1	18
