#index	x	y	npc_vnum	enable_helper	icon
0	73200	9200	10101	1	1
1	143000	12400	10103	1	1
2	60600	124200	9001	1	2
3	57900	123400	9002	1	2
4	57900	122300	9003	1	3
5	64900	127200	9005	1	4
6	64800	126200	30308	1	5
7	83000	127900	9012	1	6
8	83800	118700	9009	1	8
9	50400	121100	20016	1	7
10	61800	113300	20001	1	10
11	69300	119000	20017	1	11
12	66700	123600	20383	1	11
13	66200	122400	20413	1	11
14	56400	116800	60003	1	13
15	75400	104500	20349	1	14
16	53000	125600	20470	1	15
17	66500	124200	20378	1	19
18	55000	127800	20380	1	19
19	61400	130400	20381	1	19
20	143000	114000	20382	1	19
21	58700	131400	20377	1	19
22	82200	114900	20004	1	19
23	80300	121100	20010	1	19
