#index	x	y	npc_vnum	enable_helper	icon
0	4000	53100	10128	1	1
1	48400	72700	9002	1	2
2	48400	67700	9001	1	2
3	56600	68700	9003	1	3
4	53800	66900	9005	1	4
5	52800	67400	30308	1	5
6	46200	70300	9012	1	6
7	49800	73800	20016	1	7
8	46700	68100	20015	1	9
9	56900	71400	20001	1	10
10	57000	46700	20810	1	11
11	50500	74800	20823	1	11
12	54800	65400	20022	1	11
13	56200	67500	20503	1	12
14	55900	67000	20504	1	12
15	58800	76100	60003	1	13
16	56600	72100	20095	1	13
17	56900	70000	20349	1	14
18	99000	97300	20836	1	15
19	11100	120200	20798	1	15
20	5400	97800	20798	1	15
21	9300	41200	20798	1	15
22	51700	67600	20809	1	19
23	53500	71000	20831	1	19
24	54900	69600	11000	1	19
25	52000	72300	11002	1	19
26	51300	69600	11004	1	19
27	62300	110000	20811	1	19
28	57200	70900	20011	1	19
29	51700	75500	9006	1	19
30	21400	53000	20800	1	19
31	65500	76700	20799	1	19
32	63300	92000	20830	1	19
33	48500	58500	20833	1	19
34	56100	65800	20849	1	19
