#index	x	y	npc_vnum	enable_helper	icon
0	20500	10900	20837	1	1
1	60000	56000	20838	1	1
2	32000	23800	10901	0	0
3	35000	36100	10902	0	0
4	21000	49500	10903	0	0
5	42100	27200	10904	0	0
6	48700	27900	10905	0	0
7	7200	11900	10906	0	0
8	8000	30800	10907	0	0
9	14500	31500	10908	0	0
10	7000	36800	10909	0	0
11	6500	43400	10910	0	0
12	6700	49800	10911	0	0
13	52600	35200	10912	0	0
14	52800	41500	10913	0	0
15	52300	48000	10914	0	0
16	10100	54700	10915	0	0
17	8200	74600	10916	0	0
18	28000	56900	10917	0	0
19	47000	56000	10918	0	0
20	27800	70500	10919	0	0
21	54100	4000	10920	0	0
22	61500	4400	10921	0	0
23	55300	29100	10922	0	0
24	62600	29600	10923	0	0
25	59700	33100	10924	0	0
