#index	x	y	npc_vnum	enable_helper	icon
0	58500	33000	20352	1	19
1	7200	11900	10072	1	1
2	14500	31500	10501	0	0
3	8000	30800	10502	0	0
4	20600	10900	10503	0	0
5	32000	23800	10504	0	0
6	42100	27200	10505	0	0
7	48700	27900	10506	0	0
8	7000	36800	10507	0	0
9	6500	43400	10508	0	0
10	6700	49800	10509	0	0
11	35000	36100	10510	0	0
12	21000	49500	10511	0	0
13	52600	35200	10512	0	0
14	52800	41500	10513	0	0
15	52300	48000	10514	0	0
16	10100	54700	10515	0	0
17	8200	74600	10516	0	0
18	54100	4000	10517	0	0
19	61500	4400	10518	0	0
20	55300	29100	10519	0	0
21	62600	29600	10520	0	0
22	27800	70500	10521	0	0
23	28000	56900	10522	0	0
24	47000	56000	10523	0	0
25	57900	39000	10524	0	0
