#index	x	y	npc_vnum	enable_helper	icon
0	10200	74800	20360	1	19
1	40500	70200	20361	1	19
2	7200	11400	10073	1	1
3	14500	31500	10601	0	0
4	8000	30800	10602	0	0
5	20600	10900	10603	0	0
6	32000	23800	10604	0	0
7	42100	27200	10605	0	0
8	48700	27900	10606	0	0
9	7000	36800	10607	0	0
10	6500	43400	10608	0	0
11	6700	49800	10609	0	0
12	35000	36100	10610	0	0
13	21000	49500	10611	0	0
14	52600	35200	10612	0	0
15	52800	41500	10613	0	0
16	52300	48000	10614	0	0
17	10100	54700	10615	0	0
18	8200	74600	10616	0	0
19	54100	4000	10617	0	0
20	61500	4400	10618	0	0
21	55300	29100	10619	0	0
22	62600	29600	10620	0	0
23	27800	70500	10621	0	0
24	28000	56900	10622	0	0
25	47000	56000	10623	0	0
26	57900	39000	10624	0	0
27	59700	33100	10625	0	0
28	60100	56000	10626	0	0
