#index	x	y	npc_vnum	enable_helper	icon
0	38300	61400	20815	1	15
1	6700	7100	20813	1	19
2	41300	20000	20848	1	19
3	7000	16100	10203	1	1
4	12900	16600	10205	0	0
5	19000	16200	10206	0	0
6	29400	17000	10207	0	0
7	35500	16600	10208	0	0
8	47500	3900	10209	0	0
9	66200	18500	10210	0	0
10	66400	12400	10211	0	0
11	66300	6400	10212	0	0
12	6400	44900	10213	0	0
13	34000	38400	10214	0	0
14	33700	32300	10215	0	0
15	33700	44400	10216	0	0
16	71800	44400	10217	0	0
17	56300	44600	10218	0	0
18	71600	32400	10219	0	0
19	21500	54500	10220	0	0
20	9400	67200	10221	0	0
21	3400	67500	10222	1	1
22	39500	66400	10223	1	1
23	6600	32900	10224	0	0
24	22100	32500	10225	0	0
